TITLE = "dcfoil mesh"
VARIABLES = "x", "y", "z"
ZONE T="LEADING EDGES"
DATAPACKING=POINT
-0.32500000 -0.00000000 0.00000000
-0.32500000 -0.21052632 0.00000000
-0.32500000 -0.42105263 0.00000000
-0.32500000 -0.63157895 0.00000000
-0.32500000 -0.84210526 0.00000000
-0.32500000 -1.05263158 0.00000000
-0.32500000 -1.26315789 0.00000000
-0.32500000 -1.47368421 0.00000000
-0.32500000 -1.68421053 0.00000000
-0.32500000 -1.89473684 0.00000000
-0.32500000 -2.10526316 0.00000000
-0.32500000 -2.31578947 0.00000000
-0.32500000 -2.52631579 0.00000000
-0.32500000 -2.73684211 0.00000000
-0.32500000 -2.94736842 0.00000000
-0.32500000 -3.15789474 0.00000000
-0.32500000 -3.36842105 0.00000000
-0.32500000 -3.57894737 0.00000000
-0.32500000 -3.78947368 0.00000000
-0.32500000 -4.00000000 0.00000000
ZONE T="TRAILING EDGES"
DATAPACKING=POINT
0.32500000 -0.00000000 0.00000000
0.32500000 -0.21052632 0.00000000
0.32500000 -0.42105263 0.00000000
0.32500000 -0.63157895 0.00000000
0.32500000 -0.84210526 0.00000000
0.32500000 -1.05263158 0.00000000
0.32500000 -1.26315789 0.00000000
0.32500000 -1.47368421 0.00000000
0.32500000 -1.68421053 0.00000000
0.32500000 -1.89473684 0.00000000
0.32500000 -2.10526316 0.00000000
0.32500000 -2.31578947 0.00000000
0.32500000 -2.52631579 0.00000000
0.32500000 -2.73684211 0.00000000
0.32500000 -2.94736842 0.00000000
0.32500000 -3.15789474 0.00000000
0.32500000 -3.36842105 0.00000000
0.32500000 -3.57894737 0.00000000
0.32500000 -3.78947368 0.00000000
0.32500000 -4.00000000 0.00000000
