TITLE = "dcfoil mesh"
VARIABLES = "x", "y", "z"
ZONE T="LEADING EDGES"
DATAPACKING=POINT
-0.18000000 0.00000000 0.00000000
-0.18000000 0.00000000 0.04736842
-0.18000000 0.00000000 0.09473684
-0.18000000 0.00000000 0.14210526
-0.18000000 0.00000000 0.18947368
-0.18000000 0.00000000 0.23684211
-0.18000000 0.00000000 0.28421053
-0.18000000 0.00000000 0.33157895
-0.18000000 0.00000000 0.37894737
-0.18000000 0.00000000 0.42631579
-0.18000000 0.00000000 0.47368421
-0.18000000 0.00000000 0.52105263
-0.18000000 0.00000000 0.56842105
-0.18000000 0.00000000 0.61578947
-0.18000000 0.00000000 0.66315789
-0.18000000 0.00000000 0.71052632
-0.18000000 0.00000000 0.75789474
-0.18000000 0.00000000 0.80526316
-0.18000000 0.00000000 0.85263158
-0.18000000 0.00000000 0.90000000
ZONE T="TRAILING EDGES"
DATAPACKING=POINT
0.18000000 0.00000000 0.00000000
0.18000000 0.00000000 0.04736842
0.18000000 0.00000000 0.09473684
0.18000000 0.00000000 0.14210526
0.18000000 0.00000000 0.18947368
0.18000000 0.00000000 0.23684211
0.18000000 0.00000000 0.28421053
0.18000000 0.00000000 0.33157895
0.18000000 0.00000000 0.37894737
0.18000000 0.00000000 0.42631579
0.18000000 0.00000000 0.47368421
0.18000000 0.00000000 0.52105263
0.18000000 0.00000000 0.56842105
0.18000000 0.00000000 0.61578947
0.18000000 0.00000000 0.66315789
0.18000000 0.00000000 0.71052632
0.18000000 0.00000000 0.75789474
0.18000000 0.00000000 0.80526316
0.18000000 0.00000000 0.85263158
0.18000000 0.00000000 0.90000000
