TITLE = "dcfoil mesh"
VARIABLES = "x", "y", "z"
ZONE T="LEADING EDGES"
DATAPACKING=POINT
-0.04625000 0.00000000 0.00000000
-0.04625000 0.01283158 0.00000000
-0.04625000 0.02566316 0.00000000
-0.04625000 0.03849474 0.00000000
-0.04625000 0.05132632 0.00000000
-0.04625000 0.06415789 0.00000000
-0.04625000 0.07698947 0.00000000
-0.04625000 0.08982105 0.00000000
-0.04625000 0.10265263 0.00000000
-0.04625000 0.11548421 0.00000000
-0.04625000 0.12831579 0.00000000
-0.04625000 0.14114737 0.00000000
-0.04625000 0.15397895 0.00000000
-0.04625000 0.16681053 0.00000000
-0.04625000 0.17964211 0.00000000
-0.04625000 0.19247368 0.00000000
-0.04625000 0.20530526 0.00000000
-0.04625000 0.21813684 0.00000000
-0.04625000 0.23096842 0.00000000
-0.04625000 0.24380000 0.00000000
ZONE T="TRAILING EDGES"
DATAPACKING=POINT
0.04625000 0.00000000 0.00000000
0.04625000 0.01283158 0.00000000
0.04625000 0.02566316 0.00000000
0.04625000 0.03849474 0.00000000
0.04625000 0.05132632 0.00000000
0.04625000 0.06415789 0.00000000
0.04625000 0.07698947 0.00000000
0.04625000 0.08982105 0.00000000
0.04625000 0.10265263 0.00000000
0.04625000 0.11548421 0.00000000
0.04625000 0.12831579 0.00000000
0.04625000 0.14114737 0.00000000
0.04625000 0.15397895 0.00000000
0.04625000 0.16681053 0.00000000
0.04625000 0.17964211 0.00000000
0.04625000 0.19247368 0.00000000
0.04625000 0.20530526 0.00000000
0.04625000 0.21813684 0.00000000
0.04625000 0.23096842 0.00000000
0.04625000 0.24380000 0.00000000
