TITLE = "dcfoil mesh"
VARIABLES = "x", "y", "z"
ZONE T="LEADING EDGES"
DATAPACKING=POINT
-0.13970000 0.00000000 0.00000000
-0.13970000 0.04812632 0.00000000
-0.13970000 0.09625263 0.00000000
-0.13970000 0.14437895 0.00000000
-0.13970000 0.19250526 0.00000000
-0.13970000 0.24063158 0.00000000
-0.13970000 0.28875789 0.00000000
-0.13970000 0.33688421 0.00000000
-0.13970000 0.38501053 0.00000000
-0.13970000 0.43313684 0.00000000
-0.13970000 0.48126316 0.00000000
-0.13970000 0.52938947 0.00000000
-0.13970000 0.57751579 0.00000000
-0.13970000 0.62564211 0.00000000
-0.13970000 0.67376842 0.00000000
-0.13970000 0.72189474 0.00000000
-0.13970000 0.77002105 0.00000000
-0.13970000 0.81814737 0.00000000
-0.13970000 0.86627368 0.00000000
-0.13970000 0.91440000 0.00000000
ZONE T="TRAILING EDGES"
DATAPACKING=POINT
0.13970000 0.00000000 0.00000000
0.13970000 0.04812632 0.00000000
0.13970000 0.09625263 0.00000000
0.13970000 0.14437895 0.00000000
0.13970000 0.19250526 0.00000000
0.13970000 0.24063158 0.00000000
0.13970000 0.28875789 0.00000000
0.13970000 0.33688421 0.00000000
0.13970000 0.38501053 0.00000000
0.13970000 0.43313684 0.00000000
0.13970000 0.48126316 0.00000000
0.13970000 0.52938947 0.00000000
0.13970000 0.57751579 0.00000000
0.13970000 0.62564211 0.00000000
0.13970000 0.67376842 0.00000000
0.13970000 0.72189474 0.00000000
0.13970000 0.77002105 0.00000000
0.13970000 0.81814737 0.00000000
0.13970000 0.86627368 0.00000000
0.13970000 0.91440000 0.00000000
